Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,Position
2437,eddie griffin,HOU,20,208.28,99.79024,Seton Hall,USA,2001,1,7,73,8.8,5.7,0.7,-5.2,0.069,0.175,0.183,0.456,0.049,Feb-01,
2438,eddie gill,MEM,23,182.88,86.18248,Weber State,USA,Undrafted,Undrafted,Undrafted,23,5.0,1.2,2.1,-20.5,0.021,0.067,0.179,0.531,0.262,Feb-01,
2439,erick strickland,BOS,28,190.5,98.883056,Nebraska,USA,Undrafted,Undrafted,Undrafted,79,7.7,2.7,2.3,-1.1,0.014,0.132,0.181,0.545,0.198,Feb-01,
2440,mark jackson,NYK,37,190.5,88.45044,St. John's (NY),USA,1987,1,18,82,8.4,3.8,7.4,-6.7,0.027,0.126,0.154,0.536,0.405,Feb-01,
2441,jamaal tinsley,IND,24,190.5,88.45044,Iowa State,USA,2001,1,27,80,9.4,3.7,8.1,0.7,0.036,0.099,0.202,0.446,0.409,Feb-01,
2442,jamal mashburn,CHH,29,203.2,112.037224,Kentucky,USA,1993,1,4,40,21.5,6.1,4.3,1.8,0.022,0.149,0.276,0.505,0.202,Feb-01,
2443,kwame brown,WAS,20,210.82,110.222856,None,USA,2001,1,1,57,4.5,3.5,0.8,-4.6,0.089,0.198,0.184,0.45,0.09,Feb-01,
2444,kurt thomas,NYK,29,205.74,106.59412,Texas Christian,USA,1995,1,10,82,13.9,9.1,1.1,-5.5,0.088,0.223,0.202,0.542,0.057,Feb-01,
2445,kobe bryant,LAL,23,200.66,95.25432,None,USA,1996,1,13,80,25.2,5.5,5.5,7.6,0.041,0.118,0.304,0.544,0.254,Feb-01,
2446,kirk haston,CHH,23,205.74,109.769264,Indiana,USA,2001,1,16,15,1.7,1.3,0.3,-9.3,0.072,0.188,0.249,0.306,0.114,Feb-01,
2447,keyon dooling,LAC,22,190.5,88.904032,Missouri,USA,2000,1,10,14,4.1,0.2,0.9,10.4,0.0,0.02,0.199,0.466,0.119,Feb-01,
2448,kevin willis,HOU,39,213.36,111.13004,Michigan State,USA,1984,1,11,52,6.1,5.8,0.3,-6.7,0.129,0.264,0.193,0.489,0.031,Feb-01,
2449,kevin garnett,MIN,26,210.82,99.79024,None,USA,1995,1,5,81,21.2,12.1,5.2,5.8,0.091,0.264,0.261,0.536,0.22,Feb-01,
2450,laphonso ellis,MIA,32,203.2,108.86208,Notre Dame,USA,1992,1,5,66,7.1,4.3,0.8,-5.3,0.073,0.126,0.16,0.48,0.059,Feb-01,
2452,kenyon martin,NJN,24,205.74,106.140528,Cincinnati,USA,2000,1,1,73,14.9,5.3,2.6,6.2,0.051,0.122,0.222,0.503,0.123,Feb-01,
2453,kenny thomas,HOU,24,200.66,111.13004,New Mexico,USA,1999,1,22,72,14.1,7.2,1.9,-6.5,0.073,0.169,0.212,0.52,0.101,Feb-01,
2454,kenny satterfield,DEN,21,185.42,79.832192,Cincinnati,USA,2001,2,53,36,5.3,1.4,3.0,-5.0,0.032,0.084,0.218,0.431,0.335,Feb-01,
2455,kenny anderson,BOS,31,185.42,76.203456,Georgia Tech,USA,1991,1,2,76,9.6,3.6,5.3,5.4,0.025,0.1,0.168,0.472,0.267,Feb-01,
2456,kendall gill,MIA,34,195.58,97.52228,Illinois,USA,1990,1,5,65,5.7,2.8,1.5,-2.6,0.024,0.126,0.171,0.414,0.118,Feb-01,
2457,kelvin cato,HOU,27,210.82,115.66596,Iowa State,USA,1997,1,15,75,6.6,7.0,0.4,-5.0,0.106,0.211,0.112,0.599,0.024,Feb-01,
2458,keith van horn,NJN,26,208.28,115.66596,Utah,USA,1997,1,2,81,14.8,7.5,2.0,4.8,0.061,0.213,0.237,0.51,0.11,Feb-01,
2459,keon clark,TOR,27,210.82,100.243832,Nevada-Las Vegas,USA,1998,1,13,81,11.3,7.4,1.1,-0.8,0.095,0.232,0.214,0.522,0.071,Feb-01,
2460,lamar odom,LAC,22,208.28,100.243832,Rhode Island,USA,1999,1,4,29,13.1,6.1,5.9,-0.7,0.036,0.147,0.228,0.473,0.294,Feb-01,
2461,lamond murray,CLE,29,200.66,107.047712,California,USA,1994,1,7,71,16.6,5.2,2.2,-2.3,0.041,0.146,0.246,0.534,0.119,Feb-01,
2462,larry hughes,GSW,23,195.58,83.460928,Saint Louis,USA,1998,1,8,73,12.3,3.4,4.3,-6.1,0.041,0.086,0.22,0.484,0.251,Feb-01,
2463,mark blount,BOS,26,213.36,113.398,Pittsburgh,USA,1997,2,54,44,2.1,1.9,0.2,-6.5,0.065,0.166,0.125,0.509,0.039,Feb-01,
2464,marcus fizer,CHI,23,205.74,118.841104,Iowa State,USA,2000,1,4,76,12.3,5.6,1.6,-8.2,0.075,0.187,0.26,0.482,0.116,Feb-01,
2465,marcus camby,NYK,28,210.82,106.59412,Massachusetts,USA,1996,1,2,29,11.1,11.1,1.1,-5.1,0.103,0.269,0.174,0.483,0.055,Feb-01,
2466,marc jackson,MIN,27,208.28,122.46984,Temple,USA,1997,2,37,39,4.8,3.3,0.4,-3.5,0.107,0.184,0.205,0.467,0.05,Feb-01,
2467,mamadou n'diaye,TOR,27,213.36,115.66596,Auburn,Senegal,2000,1,26,5,4.0,2.2,0.0,-3.1,0.113,0.122,0.149,0.694,0.0,Feb-01,
2468,malik rose,SAS,27,200.66,115.66596,Drexel,USA,1996,2,44,82,9.4,6.0,0.7,8.7,0.12,0.205,0.238,0.517,0.064,Feb-01,
2469,malik allen,MIA,24,208.28,115.66596,Villanova,USA,Undrafted,Undrafted,Undrafted,12,4.3,3.2,0.4,-5.8,0.103,0.15,0.164,0.469,0.055,Feb-01,
2470,lucious harris,NJN,31,195.58,92.98636,Long Beach State,USA,1993,2,28,74,9.1,2.8,1.6,4.0,0.036,0.119,0.198,0.556,0.136,Feb-01,
2471,lorenzen wright,MEM,26,210.82,108.86208,Memphis,USA,1996,1,7,43,12.0,9.4,1.0,-6.3,0.112,0.258,0.221,0.478,0.063,Feb-01,
2472,loren woods,MIN,24,215.9,111.583632,Arizona,USA,2001,2,45,60,1.8,2.0,0.4,-4.1,0.098,0.168,0.139,0.449,0.063,Feb-01,
2473,lindsey hunter,LAL,31,187.96,88.45044,Jackson State,USA,1993,1,10,82,5.8,1.5,1.6,4.6,0.012,0.07,0.158,0.466,0.119,Feb-01,
2474,leon smith,ATL,21,208.28,106.59412,None,USA,1999,1,29,14,2.2,2.2,0.2,0.5,0.109,0.253,0.158,0.463,0.046,Feb-01,
2475,lee nailon,CHH,27,205.74,107.954896,Texas Christian,USA,1999,2,43,79,10.8,3.7,1.2,0.2,0.062,0.114,0.22,0.513,0.089,Feb-01,
2476,lawrence funderburke,SAC,31,205.74,104.32616,Ohio State,USA,1994,2,51,56,4.7,3.5,0.6,4.0,0.113,0.178,0.181,0.49,0.069,Feb-01,
2477,lavor postell,NYK,24,195.58,97.52228,St. John's (NY),USA,2000,2,39,23,4.0,0.7,0.2,4.2,0.013,0.089,0.298,0.456,0.062,Feb-01,
2478,latrell sprewell,NYK,31,195.58,88.45044,Alabama,USA,1992,1,24,81,19.4,3.7,3.9,-3.9,0.02,0.083,0.25,0.501,0.171,Feb-01,
2479,larry robinson,NYK,34,190.5,81.64656,Centenary (LA),USA,Undrafted,Undrafted,Undrafted,2,1.5,1.0,0.0,9.5,0.0,0.25,0.162,0.375,0.0,Feb-01,
2480,kedrick brown,BOS,21,200.66,100.697424,Northwest Florida State,USA,2001,1,11,29,2.2,1.7,0.5,-0.2,0.046,0.168,0.159,0.4,0.102,Feb-01,
2482,karl malone,UTA,38,205.74,116.119552,Louisiana Tech,USA,1985,1,13,80,22.4,8.6,4.3,0.8,0.057,0.218,0.288,0.532,0.216,Feb-01,
2483,jumaine jones,CLE,23,203.2,98.883056,Georgia,USA,1999,1,27,81,8.3,6.0,1.4,-2.2,0.07,0.2,0.162,0.501,0.085,Feb-01,
2484,jelani mccoy,LAL,24,208.28,111.13004,UCLA,USA,1998,2,33,21,1.2,1.2,0.3,-14.8,0.092,0.185,0.148,0.53,0.109,Feb-01,
2485,jeff trepagnier,CLE,22,193.04,90.7184,Southern California,USA,2001,2,35,12,1.5,1.0,1.0,3.6,0.046,0.127,0.203,0.345,0.255,Feb-01,
2486,jeff mcinnis,LAC,27,193.04,81.192968,North Carolina,USA,1996,2,37,81,14.6,2.6,6.2,-2.1,0.017,0.061,0.204,0.486,0.277,Feb-01,
2487,jeff foster,IND,25,210.82,109.769264,Texas State,USA,1999,1,21,82,5.7,6.8,0.9,0.3,0.131,0.216,0.14,0.493,0.062,Feb-01,
2490,jason richardson,GSW,21,198.12,99.79024,Michigan State,USA,2001,1,5,80,14.4,4.3,3.0,-6.0,0.049,0.089,0.213,0.487,0.149,Feb-01,
2491,jermaine jackson,TOR,26,195.58,92.532768,Detroit Mercy,USA,Undrafted,Undrafted,Undrafted,24,2.4,1.1,2.4,-3.0,0.012,0.103,0.113,0.542,0.328,Feb-01,
2492,jason kidd,NJN,29,193.04,96.161504,California,USA,1994,1,2,82,14.7,7.3,9.9,5.7,0.047,0.169,0.221,0.484,0.407,Feb-01,
