Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,Position
2318,tim thomas,MIL,25,208.28,108.86208,Villanova,USA,1997,1,7,74,11.7,4.1,1.4,1.2,0.039,0.132,0.225,0.522,0.091,Feb-01,
2319,slava medvedenko,LAL,23,208.28,113.398,None,Ukraine,Undrafted,Undrafted,Undrafted,70,4.7,2.3,0.6,6.9,0.127,0.113,0.228,0.501,0.099,Feb-01,
2320,shawnelle scott,DEN,30,208.28,113.398,St. John's (NY),USA,1994,2,43,21,3.9,4.9,0.4,-5.8,0.194,0.227,0.167,0.489,0.056,Feb-01,
2321,shawn marion,PHX,24,200.66,97.52228,Nevada-Las Vegas,USA,1999,1,9,81,19.1,9.9,2.0,0.0,0.075,0.217,0.235,0.518,0.091,Feb-01,
2322,shawn kemp,POR,32,208.28,127.00576,Trinity Valley Community College,USA,1989,1,17,75,6.1,3.8,0.7,-1.7,0.085,0.203,0.202,0.489,0.071,Feb-01,
2323,shawn bradley,DAL,30,228.6,120.20188,Brigham Young,USA,1993,1,2,53,4.1,3.3,0.4,6.2,0.084,0.176,0.136,0.562,0.04,Feb-01,
2324,shareef abdur-rahim,ATL,25,205.74,104.32616,California,USA,1996,1,3,77,21.2,9.0,3.1,-4.4,0.075,0.191,0.27,0.536,0.152,Feb-01,
2325,shaquille o'neal,LAL,30,215.9,142.88148,Louisiana State,USA,1992,1,1,67,27.2,10.7,3.0,11.5,0.11,0.211,0.318,0.59,0.157,Feb-01,
2326,shane battier,MEM,23,203.2,99.79024,Duke,USA,2001,1,6,78,14.4,5.4,2.8,-5.6,0.064,0.086,0.181,0.518,0.116,Feb-01,
2327,shandon anderson,NYK,28,198.12,95.25432,Georgia,USA,1996,2,54,82,5.0,3.0,0.9,-3.6,0.043,0.138,0.153,0.489,0.083,Feb-01,
2328,shammond williams,SEA,27,185.42,91.171992,North Carolina,USA,1998,2,34,50,4.4,1.3,1.7,0.2,0.033,0.094,0.192,0.526,0.225,Feb-01,
2329,sean rooks,LAC,32,208.28,117.93392,Arizona,USA,1992,2,30,61,3.0,2.0,0.4,-0.3,0.051,0.144,0.143,0.443,0.055,Feb-01,
2330,sean marks,MIA,26,208.28,113.398,California,New Zealand,1998,2,44,21,4.6,3.6,0.4,-6.1,0.067,0.201,0.182,0.466,0.046,Feb-01,
2331,scottie pippen,POR,36,200.66,103.418976,Central Arkansas,USA,1987,1,5,62,10.6,5.2,5.9,2.8,0.043,0.147,0.188,0.497,0.283,Feb-01,
2332,scott williams,DEN,34,208.28,111.13004,North Carolina,USA,Undrafted,Undrafted,Undrafted,41,4.9,5.1,0.3,-12.2,0.117,0.2,0.167,0.43,0.029,Feb-01,
2333,scott padgett,UTA,26,205.74,108.86208,Kentucky,USA,1999,1,28,75,6.7,3.8,1.1,2.4,0.103,0.156,0.178,0.568,0.109,Feb-01,
2334,scot pollard,SAC,27,210.82,120.20188,Kansas,USA,1997,1,19,80,6.4,7.1,0.7,7.2,0.107,0.214,0.115,0.59,0.039,Feb-01,
2335,samuel dalembert,PHI,22,210.82,113.398,Seton Hall,Haiti,2001,1,26,34,1.5,2.0,0.1,-4.5,0.153,0.285,0.172,0.44,0.047,Feb-01,
2336,speedy claxton,PHI,24,180.34,75.296272,Hofstra,USA,2000,1,20,67,7.2,2.4,3.0,-1.5,0.034,0.086,0.181,0.469,0.227,Feb-01,
2337,sam mitchell,MIN,38,200.66,97.52228,Mercer,USA,1985,3,54,74,3.3,1.1,0.6,1.9,0.028,0.105,0.171,0.491,0.096,Feb-01,
2338,stacey augmon,CHH,33,203.2,96.615096,Nevada-Las Vegas,USA,1991,1,9,77,4.7,2.9,1.3,5.3,0.053,0.139,0.149,0.481,0.128,Feb-01,
2339,stephon marbury,PHX,25,187.96,81.64656,Georgia Tech,USA,1996,1,4,82,20.4,3.2,8.1,-1.7,0.026,0.069,0.265,0.519,0.355,Feb-01,
2340,tim james,PHI,25,200.66,96.161504,Miami (FL),USA,1999,1,25,9,1.3,0.8,0.1,-22.5,0.119,0.074,0.197,0.384,0.048,Feb-01,
2342,tim duncan,SAS,26,213.36,117.93392,Wake Forest,US Virgin Islands,1997,1,1,82,25.5,12.7,3.7,8.7,0.097,0.257,0.291,0.576,0.182,Feb-01,
2343,tierre brown,HOU,23,187.96,85.728888,McNeese State,USA,Undrafted,Undrafted,Undrafted,40,3.1,1.1,1.8,-18.9,0.03,0.091,0.188,0.483,0.341,Feb-01,
2344,theo ratliff,ATL,29,208.28,104.32616,Wyoming,USA,1995,1,18,3,8.7,5.3,0.3,-11.2,0.075,0.141,0.183,0.523,0.024,Feb-01,
2345,terry porter,SAS,39,190.5,92.98636,Wisconsin-Stevens Point,USA,1985,1,24,72,5.5,2.3,2.8,14.0,0.011,0.125,0.156,0.558,0.25,Feb-01,
2346,terrell brandon,MIN,32,180.34,78.471416,Oregon,USA,1991,1,11,32,12.4,2.9,8.3,7.2,0.02,0.085,0.201,0.494,0.387,Feb-01,
2347,terence morris,HOU,23,205.74,100.243832,Maryland,USA,2001,2,33,68,3.8,3.1,0.9,-11.0,0.076,0.14,0.142,0.423,0.096,Feb-01,
2348,tariq abdul-wahad,DAL,27,198.12,101.151016,San Jose State,France,1997,1,11,24,5.6,3.5,1.0,-7.8,0.097,0.115,0.19,0.418,0.09,Feb-01,
2349,tang hamilton,MIA,24,203.2,99.79024,Mississippi State,USA,Undrafted,Undrafted,Undrafted,9,2.2,2.0,0.6,-0.5,0.065,0.145,0.103,0.514,0.088,Feb-01,
2350,stromile swift,MEM,22,205.74,102.0582,Louisiana State,USA,2000,1,2,68,11.8,6.3,0.7,-9.1,0.103,0.158,0.219,0.539,0.052,Feb-01,
2351,mark pope,MIL,29,208.28,106.59412,Kentucky,USA,1996,2,52,45,1.9,1.6,0.4,-4.5,0.055,0.136,0.127,0.434,0.06,Feb-01,
2352,steven hunter,ORL,20,208.28,101.604608,DePaul,USA,2001,1,15,53,3.6,1.8,0.1,-7.1,0.082,0.112,0.176,0.502,0.016,Feb-01,
2354,steve kerr,POR,36,190.5,81.64656,Arizona,USA,1988,2,50,65,4.1,0.9,1.0,3.3,0.009,0.081,0.154,0.573,0.134,Feb-01,
2355,steve goodrich,NJN,26,208.28,99.79024,Princeton,USA,Undrafted,Undrafted,Undrafted,9,0.6,0.6,0.6,-5.8,0.019,0.091,0.134,0.23,0.167,Feb-01,
2356,steve francis,HOU,25,190.5,88.45044,Maryland,USA,1999,1,2,57,21.6,7.0,6.4,-1.6,0.051,0.142,0.281,0.517,0.281,Feb-01,
2357,stephen jackson,SAS,24,203.2,98.883056,Butler Community College,USA,1997,2,42,23,3.9,1.1,0.5,-3.0,0.015,0.111,0.245,0.452,0.098,Feb-01,
2358,mark madsen,LAL,26,205.74,107.047712,Stanford,USA,2000,1,29,59,2.8,2.7,0.7,5.7,0.143,0.137,0.129,0.492,0.096,Feb-01,
2359,kevin ollie,IND,29,187.96,88.45044,Connecticut,USA,Undrafted,Undrafted,Undrafted,81,5.7,2.3,3.6,-4.9,0.017,0.107,0.151,0.51,0.293,Feb-01,
2360,mark bryant,SAS,37,205.74,113.398,Seton Hall,USA,1988,1,21,30,1.9,1.5,0.3,-4.0,0.13,0.107,0.144,0.478,0.078,Feb-01,
2366,gilbert arenas,GSW,20,190.5,86.636072,Arizona,USA,2001,2,30,47,10.9,2.8,3.7,-6.5,0.036,0.083,0.197,0.562,0.241,Feb-01,
2367,gerald wallace,SAC,19,200.66,97.52228,Alabama,USA,2001,1,25,54,3.2,1.6,0.5,1.6,0.112,0.086,0.205,0.443,0.094,Feb-01,
2368,greg buckner,DAL,25,193.04,95.25432,Clemson,USA,1998,2,53,44,5.8,3.9,1.1,0.9,0.086,0.136,0.127,0.566,0.077,Feb-01,
2372,fred hoiberg,CHI,29,195.58,95.25432,Iowa State,USA,1995,2,52,79,4.4,2.7,1.7,-7.8,0.015,0.164,0.121,0.519,0.158,Feb-01,
2373,felton spencer,NYK,34,213.36,131.54168,Louisville,USA,1990,1,6,32,0.9,1.6,0.1,-4.6,0.075,0.151,0.098,0.358,0.019,Feb-01,
2374,felipe lopez,MIN,27,195.58,88.45044,St. John's (NY),Dominican Republic,1998,1,24,67,2.5,1.2,0.6,-2.5,0.058,0.101,0.172,0.469,0.108,Feb-01,
2375,evan eschmeyer,DAL,27,210.82,115.66596,Northwestern,USA,1999,2,34,31,2.0,3.2,0.3,3.4,0.122,0.214,0.12,0.48,0.043,Feb-01,
2376,etan thomas,WAS,24,208.28,117.93392,Syracuse,USA,2000,1,12,47,4.3,3.9,0.1,-0.1,0.104,0.23,0.154,0.553,0.015,Feb-01,
2381,jalen rose,CHI,29,203.2,98.429464,Michigan,USA,1994,1,13,83,20.4,4.5,4.3,-2.1,0.016,0.117,0.26,0.528,0.203,Feb-01,
2382,jake voskuhl,PHX,24,210.82,111.13004,Connecticut,USA,2000,2,33,59,5.0,4.2,0.3,-4.2,0.127,0.193,0.144,0.614,0.031,Feb-01,
2383,jake tsakalidis,PHX,23,218.44,129.27372,None,Greece,2000,1,25,67,7.3,5.6,0.3,1.1,0.09,0.171,0.156,0.522,0.022,Feb-01,
2384,jahidi white,WAS,26,205.74,131.54168,Georgetown,USA,1998,2,43,71,5.4,6.3,0.2,-3.5,0.137,0.257,0.142,0.552,0.019,Feb-01,
2385,jacque vaughn,ATL,27,185.42,86.18248,Kansas,USA,1997,1,27,82,6.6,2.0,4.3,-6.8,0.011,0.096,0.149,0.547,0.316,Feb-01,
2386,jabari smith,PHI,25,210.82,113.398,Louisiana State,USA,2000,2,45,23,3.2,1.2,0.5,4.7,0.048,0.106,0.191,0.474,0.095,Feb-01,
2387,isaiah rider,DEN,31,195.58,97.52228,Nevada-Las Vegas,USA,1993,1,5,10,9.3,3.3,1.2,9.0,0.068,0.149,0.27,0.526,0.12,Feb-01,
2388,ira newble,ATL,27,200.66,97.52228,Miami (OH),USA,Undrafted,Undrafted,Undrafted,42,8.0,5.3,1.1,-0.8,0.073,0.126,0.125,0.56,0.055,Feb-01,
2389,ira bowman,PHI,29,195.58,88.45044,Pennsylvania,USA,Undrafted,Undrafted,Undrafted,3,3.3,0.3,0.3,-10.8,0.0,0.033,0.113,0.714,0.063,Feb-01,
2390,ike fontaine,MEM,27,193.04,95.25432,Washington State,USA,Undrafted,Undrafted,Undrafted,6,1.8,0.8,0.7,-39.0,0.0,0.088,0.124,0.331,0.093,Feb-01,
2391,ike austin,MEM,32,208.28,130.634496,Arizona State,USA,1991,2,48,21,3.6,3.4,0.6,-13.4,0.038,0.224,0.157,0.405,0.072,Feb-01,
2392,hubert davis,WAS,32,195.58,83.007336,North Carolina,USA,1992,1,20,51,7.2,1.5,2.1,-1.6,0.007,0.065,0.143,0.544,0.144,Feb-01,
2393,howard eisley,NYK,29,187.96,81.64656,Boston College,USA,1994,2,30,39,4.4,1.3,2.6,-0.1,0.018,0.074,0.194,0.435,0.292,Feb-01,
2394,horace grant,ORL,36,208.28,111.13004,Clemson,USA,1987,1,10,76,8.0,6.3,1.4,6.2,0.08,0.166,0.126,0.539,0.069,Feb-01,
2395,hedo turkoglu,SAC,23,203.2,99.79024,None,Turkey,2000,1,16,80,10.1,4.5,2.0,10.7,0.035,0.163,0.193,0.514,0.126,Feb-01,
2396,harold jamison,LAC,25,205.74,122.016248,Clemson,USA,Undrafted,Undrafted,Undrafted,25,2.2,1.6,0.2,-6.0,0.14,0.1,0.131,0.544,0.051,Feb-01,
2397,hanno mottola,ATL,25,210.82,112.037224,Utah,Finland,2000,2,40,82,4.8,3.3,0.6,-5.7,0.069,0.161,0.163,0.474,0.06,Feb-01,
2398,ervin johnson,MIL,34,210.82,115.66596,New Orleans,USA,1993,1,23,81,2.6,5.8,0.3,1.7,0.104,0.219,0.079,0.468,0.024,Feb-01,
2399,jamaal magloire,CHH,24,210.82,117.480328,Kentucky,Canada,2000,1,19,82,8.5,5.6,0.4,3.7,0.116,0.221,0.199,0.623,0.035,Feb-01,
2400,ernest brown,MIA,23,213.36,110.676448,Indian Hills Community College,USA,2000,2,52,3,1.0,2.0,0.0,-62.2,0.05,0.294,0.229,0.193,0.0,Feb-01,
2401,erick dampier,GSW,26,210.82,120.20188,Mississippi State,USA,1996,1,10,73,7.6,5.3,1.2,-6.3,0.104,0.137,0.178,0.484,0.078,Feb-01,
2402,donyell marshall,UTA,29,205.74,104.32616,Connecticut,USA,1994,1,4,58,14.8,7.6,1.7,-5.7,0.108,0.194,0.226,0.565,0.111,Feb-01,
2403,donny marshall,NJN,29,200.66,104.32616,Connecticut,USA,1995,2,39,20,1.5,1.1,0.3,-5.0,0.068,0.116,0.153,0.406,0.078,Feb-01,
2404,donnell harvey,DEN,21,203.2,99.79024,Florida,USA,2000,1,22,47,5.7,4.8,0.8,-0.9,0.109,0.206,0.154,0.526,0.073,Feb-01,
2405,don reid,ORL,28,203.2,113.398,Georgetown,USA,1995,2,58,68,3.3,2.6,0.4,-3.4,0.1,0.168,0.167,0.509,0.061,Feb-01,
2407,dion glover,ATL,23,195.58,103.418976,Georgia Tech,USA,1999,1,20,55,8.9,3.1,1.5,-9.9,0.036,0.128,0.225,0.491,0.127,Feb-01,
2408,dikembe mutombo,PHI,36,218.44,120.20188,Georgetown,Congo,1991,1,4,80,11.5,10.8,1.0,4.5,0.103,0.23,0.153,0.574,0.048,Feb-01,
2409,doug christie,SAC,32,198.12,92.98636,Pepperdine,USA,1992,1,17,81,12.0,4.6,4.2,8.2,0.029,0.114,0.157,0.578,0.169,Feb-01,
2410,dickey simpkins,ATL,30,205.74,112.490816,Providence,USA,1994,1,21,1,0.0,0.0,1.0,-16.7,0.0,0.0,0.0,0.0,0.5,Feb-01,
2411,desmond mason,SEA,24,195.58,100.697424,Oklahoma State,USA,2000,1,17,75,12.4,4.7,1.4,5.4,0.046,0.124,0.188,0.533,0.068,Feb-01,
2412,derrick mckey,PHI,35,208.28,109.315672,Alabama,USA,1987,1,9,41,2.9,3.1,1.1,0.6,0.073,0.121,0.091,0.464,0.093,Feb-01,
2413,derrick dial,TOR,26,193.04,83.460928,Eastern Michigan,USA,1998,2,52,32,3.2,1.8,1.1,4.2,0.048,0.158,0.226,0.387,0.211,Feb-01,
2414,derrick coleman,PHI,35,208.28,122.46984,Syracuse,USA,1990,1,1,58,15.1,8.8,1.7,1.8,0.095,0.186,0.212,0.524,0.084,Feb-01,
2415,derek fisher,LAL,27,185.42,90.7184,Arkansas-Little Rock,USA,1996,1,24,70,11.2,2.1,2.6,9.4,0.008,0.073,0.175,0.55,0.137,Feb-01,
2416,derek anderson,POR,27,195.58,88.45044,Kentucky,USA,1997,1,13,70,10.8,2.7,3.1,5.0,0.03,0.092,0.195,0.537,0.188,Feb-01,
2417,zydrunas ilgauskas,CLE,27,220.98,117.93392,None,Lithuania,1996,1,20,62,11.1,5.4,1.1,-4.1,0.125,0.181,0.272,0.501,0.096,Feb-01,
2418,devean george,LAL,24,203.2,99.79024,Augsburg,USA,1999,1,23,82,7.1,3.7,1.4,12.2,0.049,0.138,0.163,0.502,0.097,Feb-01,
2419,doug overton,LAC,32,190.5,86.18248,La Salle,USA,1991,2,40,18,2.2,0.7,0.7,-1.0,0.009,0.099,0.207,0.414,0.167,Feb-01,
2420,earl boykins,LAC,26,165.1,60.327736,Eastern Michigan,USA,Undrafted,Undrafted,Undrafted,68,4.1,0.8,2.1,-0.5,0.04,0.041,0.202,0.464,0.309,Feb-01,
2421,earl watson,SEA,23,185.42,86.18248,UCLA,USA,2001,2,39,64,3.6,1.3,2.0,3.8,0.041,0.067,0.139,0.507,0.196,Feb-01,
