Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_year,total_points
1870,Mike Penberthy,LAL,26,190.5,81.64656,Master's,USA,Undrafted,Undrafted,Undrafted,53,5.0,1.2,1.3,-0.6,0.013,0.067,0.141,0.567,0.129,Jan-00,,265.0
1882,Kobe Bryant,LAL,22,200.66,95.25432,None,USA,1996,1,13,68,28.5,5.9,5.0,6.3,0.042,0.117,0.315,0.552,0.22,Jan-00,,1938.0
1924,Brian Shaw,LAL,35,198.12,90.7184,California-Santa Barbara,USA,1988,1,24,80,5.3,3.8,3.2,2.2,0.03,0.158,0.131,0.479,0.206,Jan-00,,424.0
2006,Devean George,LAL,23,203.2,99.79024,Augsburg,USA,1999,1,23,59,3.1,1.9,0.3,-6.0,0.065,0.145,0.201,0.394,0.055,Jan-00,,182.9
2034,Derek Fisher,LAL,26,185.42,90.7184,Arkansas-Little Rock,USA,1996,1,24,20,11.5,3.0,4.4,11.1,0.008,0.089,0.153,0.534,0.181,Jan-00,,230.0
2128,Tyronn Lue,LAL,24,182.88,80.739376,Nebraska,USA,1998,1,23,38,3.4,0.8,1.2,-5.2,0.012,0.066,0.148,0.51,0.157,Jan-00,,129.2
2138,Slava Medvedenko,LAL,22,208.28,113.398,None,Ukraine,Undrafted,Undrafted,Undrafted,7,4.6,1.3,0.3,3.3,0.026,0.16,0.337,0.528,0.087,Jan-00,,32.199999999999996
2141,Robert Horry,LAL,30,208.28,106.59412,Alabama,USA,1992,1,11,79,5.2,3.7,1.6,2.1,0.068,0.149,0.141,0.489,0.124,Jan-00,,410.8
2143,Rick Fox,LAL,31,200.66,109.769264,North Carolina,Canada,1991,1,24,82,9.6,4.0,3.2,6.1,0.04,0.116,0.162,0.562,0.168,Jan-00,,787.1999999999999
2169,Ron Harper,LAL,37,198.12,97.52228,Miami (OH),USA,1986,1,8,47,6.5,3.5,2.4,4.2,0.046,0.116,0.139,0.525,0.144,Jan-00,,305.5
2176,Shaquille O'Neal,LAL,29,215.9,142.88148,Louisiana State,USA,1992,1,1,74,28.7,12.7,3.7,7.9,0.116,0.247,0.318,0.574,0.177,Jan-00,,2123.7999999999997
2227,Robert Horry,LAL,31,208.28,106.59412,Alabama,USA,1992,1,11,81,6.8,5.9,2.9,8.3,0.068,0.178,0.128,0.528,0.158,Feb-01,,550.8
2229,Rick Fox,LAL,32,200.66,109.769264,North Carolina,Canada,1991,1,24,82,7.9,4.7,3.5,6.1,0.044,0.143,0.152,0.502,0.174,Feb-01,,647.8000000000001
2269,Mitch Richmond,LAL,37,195.58,99.79024,Kansas State,USA,1988,1,5,64,4.1,1.5,0.9,9.8,0.021,0.114,0.194,0.488,0.131,Feb-01,,262.4
2272,Mike Penberthy,LAL,27,190.5,81.64656,Master's,USA,Undrafted,Undrafted,Undrafted,3,1.7,0.7,0.7,-10.9,0.0,0.154,0.132,0.665,0.25,Feb-01,,5.1
2277,Samaki Walker,LAL,26,205.74,117.93392,Louisville,USA,1996,1,9,69,6.7,7.0,0.9,3.1,0.087,0.231,0.131,0.545,0.057,Feb-01,,462.3
2319,Slava Medvedenko,LAL,23,208.28,113.398,None,Ukraine,Undrafted,Undrafted,Undrafted,70,4.7,2.3,0.6,6.9,0.127,0.113,0.228,0.501,0.099,Feb-01,,329.0
2325,Shaquille O'Neal,LAL,30,215.9,142.88148,Louisiana State,USA,1992,1,1,67,27.2,10.7,3.0,11.5,0.11,0.211,0.318,0.59,0.157,Feb-01,,1822.3999999999999
2358,Mark Madsen,LAL,26,205.74,107.047712,Stanford,USA,2000,1,29,59,2.8,2.7,0.7,5.7,0.143,0.137,0.129,0.492,0.096,Feb-01,,165.2
2415,Derek Fisher,LAL,27,185.42,90.7184,Arkansas-Little Rock,USA,1996,1,24,70,11.2,2.1,2.6,9.4,0.008,0.073,0.175,0.55,0.137,Feb-01,,784.0
2418,Devean George,LAL,24,203.2,99.79024,Augsburg,USA,1999,1,23,82,7.1,3.7,1.4,12.2,0.049,0.138,0.163,0.502,0.097,Feb-01,,582.1999999999999
2445,Kobe Bryant,LAL,23,200.66,95.25432,None,USA,1996,1,13,80,25.2,5.5,5.5,7.6,0.041,0.118,0.304,0.544,0.254,Feb-01,,2016.0
2473,Lindsey Hunter,LAL,31,187.96,88.45044,Jackson State,USA,1993,1,10,82,5.8,1.5,1.6,4.6,0.012,0.07,0.158,0.466,0.119,Feb-01,,475.59999999999997
2484,Jelani McCoy,LAL,24,208.28,111.13004,UCLA,USA,1998,2,33,21,1.2,1.2,0.3,-14.8,0.092,0.185,0.148,0.53,0.109,Feb-01,,25.2
2596,Brian Shaw,LAL,36,198.12,90.7184,California-Santa Barbara,USA,1988,1,24,58,2.9,1.9,1.5,8.0,0.033,0.164,0.153,0.458,0.207,Feb-01,,168.2
2658,Mark Madsen,LAL,27,205.74,111.13004,Stanford,USA,2000,1,29,54,3.2,2.9,0.7,0.6,0.118,0.111,0.12,0.458,0.067,Mar-02,,172.8
2706,Kareem Rush,LAL,22,198.12,97.52228,Missouri,USA,2002,1,20,76,3.0,1.2,0.9,-3.5,0.033,0.088,0.162,0.447,0.119,Mar-02,,228.0
2718,Kobe Bryant,LAL,24,200.66,97.52228,None,USA,1996,1,13,82,30.0,6.9,5.9,3.7,0.035,0.152,0.329,0.55,0.268,Mar-02,,2460.0
2747,Samaki Walker,LAL,27,205.74,115.66596,Louisville,USA,1996,1,9,67,4.4,5.5,1.0,-2.7,0.1,0.224,0.137,0.465,0.08,Mar-02,,294.8
2758,Shaquille O'Neal,LAL,31,215.9,151.95332,Louisiana State,USA,1992,1,1,67,27.5,11.1,3.1,6.9,0.12,0.214,0.303,0.602,0.15,Mar-02,,1842.5
2763,Slava Medvedenko,LAL,24,208.28,115.66596,None,Ukraine,Undrafted,Undrafted,Undrafted,58,4.4,2.4,0.3,-5.3,0.111,0.134,0.22,0.46,0.05,Mar-02,,255.20000000000002
2765,Soumaila Samake,LAL,25,208.28,108.86208,None,Mali,2000,2,36,13,1.7,1.8,0.3,-10.0,0.143,0.203,0.15,0.442,0.087,Mar-02,,22.099999999999998
2784,Rick Fox,LAL,33,200.66,106.59412,North Carolina,Canada,1991,1,24,76,9.0,4.3,3.3,2.8,0.032,0.131,0.157,0.523,0.171,Mar-02,,684.0
2787,Robert Horry,LAL,32,208.28,107.954896,Alabama,USA,1992,1,11,80,6.5,6.4,2.9,4.4,0.088,0.163,0.123,0.488,0.148,Mar-02,,520.0
2848,Tracy Murray,LAL,31,200.66,103.418976,UCLA,USA,1992,1,18,31,2.0,0.7,0.4,-15.9,0.029,0.114,0.199,0.407,0.103,Mar-02,,62.0
2904,Brian Shaw,LAL,37,198.12,90.7184,California-Santa Barbara,USA,1988,1,24,72,3.5,1.7,1.4,-5.4,0.024,0.128,0.158,0.467,0.189,Mar-02,,252.0
2971,Jannero Pargo,LAL,23,187.96,77.11064,Arkansas,USA,Undrafted,Undrafted,Undrafted,34,2.5,1.1,1.1,-0.1,0.027,0.101,0.15,0.449,0.168,Mar-02,,85.0
3028,Devean George,LAL,25,203.2,102.0582,Augsburg,USA,1999,1,23,71,6.9,4.0,1.3,2.7,0.063,0.143,0.158,0.485,0.092,Mar-02,,489.90000000000003
3031,Derek Fisher,LAL,28,185.42,92.98636,Arkansas-Little Rock,USA,1996,1,24,82,10.5,2.9,3.6,4.4,0.016,0.079,0.145,0.52,0.157,Mar-02,,861.0
3090,Bryon Russell,LAL,33,200.66,102.0582,Long Beach State,USA,1993,2,45,72,4.0,2.0,1.0,1.2,0.038,0.144,0.149,0.53,0.122,Apr-03,,288.0
3145,Kareem Rush,LAL,23,198.12,97.52228,Missouri,USA,2002,1,20,72,6.4,1.3,0.8,-1.1,0.018,0.076,0.185,0.505,0.08,Apr-03,,460.8
3146,Karl Malone,LAL,40,205.74,117.480328,Louisiana Tech,USA,1985,1,13,42,13.2,8.7,3.9,8.1,0.051,0.237,0.193,0.555,0.185,Apr-03,,554.4
3153,Brian Cook,LAL,23,205.74,106.140528,Illinois,USA,2003,1,24,35,4.4,2.9,0.6,-2.5,0.071,0.19,0.172,0.505,0.079,Apr-03,,154.0
3188,Jamal Sampson,LAL,21,210.82,106.59412,California,USA,2002,2,46,10,2.9,5.2,0.7,-7.2,0.161,0.266,0.116,0.513,0.093,Apr-03,,29.0
3249,Devean George,LAL,26,203.2,108.86208,Augsburg,USA,1999,1,23,82,7.4,4.0,1.4,4.7,0.05,0.143,0.16,0.492,0.089,Apr-03,,606.8000000000001
3255,Derek Fisher,LAL,29,185.42,92.98636,Arkansas-Little Rock,USA,1996,1,24,82,7.1,1.9,2.3,2.4,0.019,0.084,0.186,0.451,0.175,Apr-03,,582.1999999999999
3271,Gary Payton,LAL,35,193.04,81.64656,Oregon State,USA,1990,1,2,82,14.6,4.2,5.5,5.8,0.028,0.105,0.202,0.528,0.259,Apr-03,,1197.2
3272,Horace Grant,LAL,38,208.28,111.13004,Clemson,USA,1987,1,10,55,4.1,4.2,1.3,1.6,0.078,0.175,0.115,0.45,0.098,Apr-03,,225.49999999999997
3303,Shaquille O'Neal,LAL,32,215.9,154.22128,Louisiana State,USA,1992,1,1,67,21.5,11.5,2.9,8.3,0.114,0.232,0.26,0.578,0.14,Apr-03,,1440.5
3307,Slava Medvedenko,LAL,25,208.28,113.398,None,Ukraine,Undrafted,Undrafted,Undrafted,68,8.3,5.0,0.8,-0.8,0.113,0.16,0.203,0.479,0.068,Apr-03,,564.4000000000001
3326,Rick Fox,LAL,34,200.66,106.59412,North Carolina,Canada,1991,1,24,38,4.8,2.7,2.6,5.2,0.039,0.096,0.133,0.459,0.161,Apr-03,,182.4
3404,Luke Walton,LAL,24,203.2,106.59412,Arizona,USA,2003,2,32,72,2.4,1.8,1.6,1.4,0.061,0.15,0.139,0.505,0.246,Apr-03,,172.79999999999998
3440,Kobe Bryant,LAL,25,198.12,99.79024,None,USA,1996,1,13,65,24.0,5.5,5.1,6.2,0.047,0.119,0.286,0.551,0.237,Apr-03,,1560.0
